 0,21 ; 0,67 ;;;;;;;;;;;;;
 0,18 ; 0,26 ;;;;;;;;;;;;;
 0,22 ; 0,33 ;;;;;;;;;;;;;
 0,17 ; 0,25 ;;;;;;;;;;;;;
 0,08 ; 0,22 ;;;;;;;;;;;;;
 0,07 ; 0,20 ;;;;;;;;;;;;;
 0,08 ; 0,22 ;;;;;;;;;;;;;
 0,17 ; 0,25 ;;;;;;;;;;;;;
 0,23 ; 0,34 ;;;;;;;;;;;;;
 0,63 ; 0,67 ;;;;;;;;;;;;;
 0,69 ; 0,73 ;;;;;;;;;;;;;
 0,20 ; 0,28 ;;;;;;;;;;;;;
 0,36 ; 0,39 ;;;;;;;;;;;;;
 0,36 ; 0,39 ;;;;;;;;;;;;;
 0,36 ; 0,39 ;;;;;;;;;;;;;
 0,20 ; 0,32 ;;;;;;;;;;;;;
 0,14 ; 0,15 ;;;;;;;;;;;;;
 0,04 ; 0,06 ;;;;;;;;;;;;;
 0,04 ; 0,06 ;;;;;;;;;;;;;
 0,04 ; 0,06 ;;;;;;;;;;;;;
 0,04 ; 0,06 ;;;;;;;;;;;;;
 0,04 ; 0,06 ;;;;;;;;;;;;;
 0,04 ; 0,06 ;;;;;;;;;;;;;
 0,04 ; 0,06 ;;;;;;;;;;;;;
 0,04 ; 0,09 ;;;;;;;;;;;;;
 0,12 ; 0,19 ;;;;;;;;;;;;;
 0,21 ; 0,34 ;;;;;;;;;;;;;
 0,66 ; 0,68 ;;;;;;;;;;;;;
 0,11 ; 0,37 ;;;;;;;;;;;;;
 0,45 ; 0,91 ;;;;;;;;;;;;;
 0,02 ; 0,06 ;;;;;;;;;;;;;
 0,04 ; 0,32 ;;;;;;;;;;;;;
 0,11 ; 0,17 ;;;;;;;;;;;;;
 0,80 ; 0,80 ;;;;;;;;;;;;;
 0,17 ; 0,60 ;;;;;;;;;;;;;
 0,37 ; 0,52 ;;;;;;;;;;;;;
 0,12 ; 0,23 ;;;;;;;;;;;;;
 0,21 ; 0,36 ;;;;;;;;;;;;;
 0,10 ; 0,11 ;;;;;;;;;;;;;
 0,24 ; 0,27 ;;;;;;;;;;;;;
 0,26 ; 0,53 ;;;;;;;;;;;;;
 0,26 ; 0,53 ;;;;;;;;;;;;;
 0,47 ; 0,49 ;;;;;;;;;;;;;
 0,33 ; 0,43 ;;;;;;;;;;;;;
 0,14 ; 0,19 ;;;;;;;;;;;;;
 0,09 ; 0,10 ;;;;;;;;;;;;;
 0,04 ; 0,04 ;;;;;;;;;;;;;
 0,21 ; 0,27 ;;;;;;;;;;;;;
 0,07 ; 0,09 ;;;;;;;;;;;;;
 0,51 ; 0,60 ;;;;;;;;;;;;;
 0,23 ; 0,50 ;;;;;;;;;;;;;
 0,12 ; 0,15 ;;;;;;;;;;;;;
 0,11 ; 0,56 ;;;;;;;;;;;;;
 0,11 ; 0,56 ;;;;;;;;;;;;;
 0,51 ; 0,60 ;;;;;;;;;;;;;
 0,10 ; 0,60 ;;;;;;;;;;;;;
 0,18 ; 0,35 ;;;;;;;;;;;;;
 1,00 ; 1,00 ;;;;;;;;;;;;;
 0,60 ; 0,83 ;;;;;;;;;;;;;
 0,23 ; 0,34 ;;;;;;;;;;;;;
 0,37 ; 0,43 ;;;;;;;;;;;;;
 0,07 ; 0,34 ;;;;;;;;;;;;;
 0,11 ; 0,13 ;;;;;;;;;;;;;
 0,13 ; 0,17 ;;;;;;;;;;;;;
 0,12 ; 0,16 ;;;;;;;;;;;;;
 0,12 ; 0,14 ;;;;;;;;;;;;;
 0,55 ; 0,55 ;;;;;;;;;;;;;
 0,13 ; 0,17 ;;;;;;;;;;;;;
 0,09 ; 0,13 ;;;;;;;;;;;;;
 0,32 ; 0,42 ;;;;;;;;;;;;;
 0,10 ; 0,17 ;;;;;;;;;;;;;
 0,80 ; 0,80 ;;;;;;;;;;;;;
 0,84 ; 0,95 ;;;;;;;;;;;;;
 0,81 ; 0,81 ;;;;;;;;;;;;;
 0,16 ; 0,17 ;;;;;;;;;;;;;
 0,16 ; 0,17 ;;;;;;;;;;;;;
 0,41 ; 0,41 ;;;;;;;;;;;;;
 0,01 ; 0,02 ;;;;;;;;;;;;;
 0,01 ; 0,01 ;;;;;;;;;;;;;
 0,02 ; 0,03 ;;;;;;;;;;;;;
 0,02 ; 0,02 ;;;;;;;;;;;;;
 0,03 ; 0,05 ;;;;;;;;;;;;;
 0,02 ; 0,03 ;;;;;;;;;;;;;
 0,03 ; 0,04 ;;;;;;;;;;;;;
 0,07 ; 0,12 ;;;;;;;;;;;;;
 0,30 ; 0,37 ;;;;;;;;;;;;;
 0,13 ; 0,38 ;;;;;;;;;;;;;
 0,10 ; 0,28 ;;;;;;;;;;;;;
 0,17 ; 0,26 ;;;;;;;;;;;;;
 0,13 ; 0,20 ;;;;;;;;;;;;;
 0,18 ; 0,52 ;;;;;;;;;;;;;
 0,15 ; 0,44 ;;;;;;;;;;;;;
 0,26 ; 0,68 ;;;;;;;;;;;;;
 0,06 ; 0,10 ;;;;;;;;;;;;;
 0,12 ; 0,16 ;;;;;;;;;;;;;
 0,54 ; 0,58 ;;;;;;;;;;;;;
 0,19 ; 0,26 ;;;;;;;;;;;;;
 0,17 ; 0,23 ;;;;;;;;;;;;;
 0,29 ; 0,51 ;;;;;;;;;;;;;
 0,20 ; 0,28 ;;;;;;;;;;;;;
 0,24 ; 0,27 ;;;;;;;;;;;;;
 0,14 ; 0,49 ;;;;;;;;;;;;;
 0,03 ; 0,04 ;;;;;;;;;;;;;
 0,05 ; 0,06 ;;;;;;;;;;;;;
 0,05 ; 0,06 ;;;;;;;;;;;;;
 0,02 ; 0,03 ;;;;;;;;;;;;;
 0,06 ; 0,20 ;;;;;;;;;;;;;
 0,01 ; 0,04 ;;;;;;;;;;;;;
 0,03 ; 0,05 ;;;;;;;;;;;;;
 0,03 ; 0,05 ;;;;;;;;;;;;;
 0,26 ; 0,34 ;;;;;;;;;;;;;
 0,88 ; 0,91 ;;;;;;;;;;;;;
 0,27 ; 0,34 ;;;;;;;;;;;;;
 0,89 ; 0,91 ;;;;;;;;;;;;;
 0,27 ; 0,30 ;;;;;;;;;;;;;
 0,09 ; 0,09 ;;;;;;;;;;;;;
 0,13 ; 0,18 ;;;;;;;;;;;;;
 0,12 ; 0,16 ;;;;;;;;;;;;;
 0,35 ; 0,49 ;;;;;;;;;;;;;
 0,27 ; 0,28 ;;;;;;;;;;;;;
 0,03 ; 0,03 ;;;;;;;;;;;;;
 0,03 ; 0,03 ;;;;;;;;;;;;;
 0,03 ; 0,03 ;;;;;;;;;;;;;
 0,04 ; 0,05 ;;;;;;;;;;;;;
 0,01 ; 0,05 ;;;;;;;;;;;;;
 0,02 ; 0,06 ;;;;;;;;;;;;;
 0,31 ; 0,46 ;;;;;;;;;;;;;
 0,07 ; 0,16 ;;;;;;;;;;;;;
 0,36 ; 0,41 ;;;;;;;;;;;;;
 0,08 ; 0,10 ;;;;;;;;;;;;;
 0,35 ; 0,52 ;;;;;;;;;;;;;
 0,11 ; 0,29 ;;;;;;;;;;;;;
 0,39 ; 0,48 ;;;;;;;;;;;;;
 0,39 ; 0,47 ;;;;;;;;;;;;;
 0,31 ; 0,35 ;;;;;;;;;;;;;
 0,10 ; 0,12 ;;;;;;;;;;;;;
 0,16 ; 0,33 ;;;;;;;;;;;;;
 0,28 ; 0,34 ;;;;;;;;;;;;;
 0,47 ; 0,51 ;;;;;;;;;;;;;
 0,39 ; 0,51 ;;;;;;;;;;;;;
 0,40 ; 0,46 ;;;;;;;;;;;;;
 0,37 ; 0,50 ;;;;;;;;;;;;;
 0,35 ; 0,46 ;;;;;;;;;;;;;
 0,07 ; 0,15 ;;;;;;;;;;;;;
 0,21 ; 0,35 ;;;;;;;;;;;;;
 0,47 ; 0,71 ;;;;;;;;;;;;;
 0,35 ; 0,38 ;;;;;;;;;;;;;
 0,19 ; 0,44 ;;;;;;;;;;;;;
 0,24 ; 0,52 ;;;;;;;;;;;;;
 0,66 ; 0,71 ;;;;;;;;;;;;;
 0,19 ; 0,23 ;;;;;;;;;;;;;
 0,38 ; 0,43 ;;;;;;;;;;;;;
 0,18 ; 0,21 ;;;;;;;;;;;;;
 0,27 ; 0,58 ;;;;;;;;;;;;;
 0,20 ; 0,22 ;;;;;;;;;;;;;
 0,22 ; 0,31 ;;;;;;;;;;;;;
 0,39 ; 0,43 ;;;;;;;;;;;;;
 0,54 ; 0,57 ;;;;;;;;;;;;;
 0,51 ; 0,54 ;;;;;;;;;;;;;
 0,51 ; 0,54 ;;;;;;;;;;;;;
 0,31 ; 0,38 ;;;;;;;;;;;;;
 0,51 ; 0,54 ;;;;;;;;;;;;;
