filename; file size V1; file size V2; LTS size V1; LTS size V2; Explored V1 ; Explored V2 ; matches V1; matches V2
ALCP543.COB ; 1232 ; 435 ; 77 ; 21; 33 ; 19 ; 33; 13
ALCP544.COB ; 1349 ; 812 ; 224 ; 67; 25 ; 11 ; 23; 7
ALCP545.COB ; 564 ; 407 ; 123 ; 36; 24 ; 10 ; 22; 6
ALCP550.COB ; 2291 ; 780 ; 308 ; 139; 81 ; 76 ; 81; 43
ALCP551.COB ; 874 ; 616 ; 219 ; 75; 33 ; 27 ; 31; 19
ALCP552.COB ; 743 ; 526 ; 189 ; 64; 22 ; 22 ; 21; 15
ALCP558.COB ; 1435 ; 1035 ; 274 ; 121; 60 ; 44 ; 58; 22
ALCP559.COB ; 1262 ; 846 ; 219 ; 108; 22 ; 22 ; 20; 14
ALCP570.COB ; 2328 ; 1068 ; 268 ; 131; 34 ; 27 ; 32; 19
ALCP571.COB ; 1796 ; 793 ; 227 ; 110; 29 ; 28 ; 27; 19
ALCP575.COB ; 3913 ; 902 ; 283 ; 71; 80 ; 47 ; 80; 34
ALCP577.COB ; 6937 ; 3351 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP579.COB ; 2180 ; 408 ; 113 ; 36; 31 ; 21 ; 31; 12
ALCP610.COB ; 423 ; 314 ; 72 ; 27; 11 ; 11 ; 11; 6
ALCP631.COB ; 2473 ; 1245 ; 433 ; 200; 22 ; 24 ; 22; 14
ALCP637.COB ; 1848 ; 791 ; 235 ; 97; 22 ; 24 ; 22; 14
ALCP639.COB ; 3272 ; 1019 ; 298 ; 163; 33 ; 40 ; 33; 24
ALCP644.COB ; 1279 ; 475 ; 144 ; 33; 29 ; 35 ; 27; 22
ALCP666.COB ; 6147 ; 3804 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP667.COB ; 1098 ; 693 ; 198 ; 86; 22 ; 25 ; 20; 17
ALCP676.COB ; 1958 ; 887 ; 327 ; 126; 95 ; 89 ; 95; 53
ALCP679.COB ; 1586 ; 870 ; 257 ; 123; 28 ; 25 ; 28; 17
ALCP680.COB ; 575 ; 433 ; 115 ; 50; 80 ; 74 ; 80; 37
ALCP686.COB ; 3501 ; 1400 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP687.COB ; 2884 ; 882 ; 305 ; 144; 38 ; 33 ; 38; 22
ALCP688.COB ; 3488 ; 1207 ; 419 ; 221; 115 ; 74 ; 115; 49
ALCP689.COB ; 992 ; 746 ; 218 ; 111; 36 ; 36 ; 36; 23
ALCP690.COB ; 1176 ; 868 ; 296 ; 127; 27 ; 28 ; 25; 20
ALCP691.COB ; 972 ; 727 ; 214 ; 102; 84 ; 77 ; 82; 36
ALCP692.COB ; 2534 ; 1813 ; 884 ; 412; 70 ; 59 ; 70; 37
ALCP693.COB ; 2773 ; 2260 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP694.COB ; 2645 ; 1980 ; 1043 ; 469; 33 ; 32 ; 33; 22
ALCP695.COB ; 2388 ; 1674 ; 767 ; 408; 43 ; 38 ; 43; 26
ALCP696.COB ; 2497 ; 1776 ; 852 ; 458; 43 ; 38 ; 43; 26
ALCP697.COB ; 2611 ; 1922 ; 986 ; 524; 62 ; 56 ; 62; 40
ALCP698.COB ; 302 ; 182 ; 60 ; 9; 22 ; 11 ; 22; 8
ALCP700.COB ; 2187 ; 1483 ; 383 ; 196; 65 ; 46 ; 63; 23
ALCP701.COB ; 482 ; 468 ; 162 ; 68; 58 ; 39 ; 58; 27
