filename; file size V1; file size V2; LTS size V1; LTS size V2; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2
ALCB517.COB ; 13160 ; 7830 ; 3979 ; 1640; 135 ; 125 ; 127; 74;  4; 0
ALCB527.COB ; 6463 ; 3880 ; 1654 ; 815; 130 ; 117 ; 122; 67;  4; 0
ALCB528.COB ; 5969 ; 2576 ; 1176 ; 517; 76 ; 59 ; 70; 34;  2; 0
ALCB530.COB ; 6590 ; 2369 ; 918 ; 430; 132 ; 105 ; 126; 57;  2; 0
ALCB541.COB ; 6572 ; 2383 ; 873 ; 404; 60 ; 55 ; 58; 34;  0; 3
ALCB576.COB ; 3646 ; 1381 ; 400 ; 226; 61 ; 71 ; 55; 43;  2; 0
ALCB581.COB ; 5979 ; 3959 ; 1179 ; 642; 139 ; 135 ; 125; 75;  6; 0
ALCB582.COB ; 5375 ; 3096 ; 898 ; 495; 27 ; 26 ; 21; 14;  2; 0
ALCB583.COB ; 5648 ; 3084 ; 909 ; 483; 122 ; 110 ; 120; 70;  0; 2
ALCB584.COB ; 2254 ; 1560 ; 318 ; 158; 113 ; 116 ; 105; 64;  4; 0
ALCB585.COB ; 2873 ; 1981 ; 422 ; 222; 118 ; 128 ; 114; 72;  4; 0
ALCB587.COB ; 1228 ; 952 ; 304 ; 150; 113 ; 116 ; 105; 64;  4; 0
ALCB611.COB ; 1919 ; 1340 ; 460 ; 254; 95 ; 83 ; 87; 46;  4; 0
ALCB617.COB ; 2069 ; 1141 ; 342 ; 185; 230 ; 258 ; 222; 129;  4; 0
ALCB618.COB ; 1700 ; 1133 ; 337 ; 186; 236 ; 279 ; 230; 137;  4; 0
ALCB619.COB ; 1700 ; 1133 ; 337 ; 186; 236 ; 279 ; 230; 137;  4; 0
ALCB625.COB ; 4072 ; 1388 ; 428 ; 231; 187 ; 202 ; 181; 106;  4; 0
ALCB648.COB ; 2605 ; 1286 ; 423 ; 213; 29 ; 30 ; 25; 18;  2; 0
ALCB649.COB ; 1808 ; 1111 ; 349 ; 177; 91 ; 78 ; 89; 47;  0; 2
ALCB653.COB ; 2348 ; 1000 ; 312 ; 156; 24 ; 25 ; 20; 14;  2; 0
ALCB654.COB ; 4321 ; 1170 ; 348 ; 174; 85 ; 73 ; 75; 41;  4; 0
ALCB655.COB ; 4352 ; 1228 ; 370 ; 183; 92 ; 80 ; 82; 46;  4; 0
ALCB659.COB ; 1690 ; 979 ; 312 ; 149; 24 ; 25 ; 20; 14;  2; 0
ALCB660.COB ; 1829 ; 989 ; 306 ; 149; 73 ; 63 ; 67; 38;  2; 0
ALCB661.COB ; 3782 ; 975 ; 306 ; 147; 76 ; 66 ; 70; 40;  2; 0
ALCB665.COB ; 3327 ; 2000 ; 674 ; 344; 174 ; 180 ; 170; 97;  2; 2
ALCB668.COB ; 1075 ; 904 ; 302 ; 155; 147 ; 172 ; 139; 89;  6; 0
ALCB682.COB ; 3320 ; 2048 ; 678 ; 399; 170 ; 197 ; 166; 118;  2; 2
ALCB683.COB ; 2620 ; 1683 ; 525 ; 300; 110 ; 133 ; 106; 73;  4; 0
ALCB751.COB ; 1532 ; 794 ; 264 ; 106; 185 ; 194 ; 181; 100;  4; 0
ALCB756.COB ; 1983 ; 1226 ; 225 ; 84; 139 ; 123 ; 137; 71;  2; 0
ALCB937.COB ; 8697 ; 4148 ; 1217 ; 649; 38 ; 34 ; 32; 20;  2; 0
ALCB997.COB ; 4788 ; 3216 ; 841 ; 459; 149 ; 169 ; 144; 94;  5; 0
ALCC024.COB ; 3269 ; 2759 ; 1468 ; 794; 27 ; 20 ; 23; 8;  2; 0
ALCC025.COB ; 2186 ; 1585 ; 810 ; 365; 27 ; 19 ; 23; 8;  2; 0
ALCC026.COB ; 3218 ; 2608 ; 1408 ; 730; 27 ; 20 ; 23; 8;  2; 0
ALCC027.COB ; 3252 ; 2628 ; 1419 ; 734; 27 ; 20 ; 23; 8;  2; 0
ALCC028.COB ; 2175 ; 1603 ; 823 ; 373; 101 ; 79 ; 85; 35;  8; 0
