filename; file size V1; file size V2; LTS size V1; LTS size V2; Equivalent; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2;133;%Explored V1;% Explored V2;%Match V1;%Match V2;; Explored V2 ; matches V2;% Ex;% match;Inc ex;inc Match;
ALCP558.COB ;1435;1035;273;110; False;97;38;97;36;0;0;;36%;35%;36%;33%;;45;41;41%;37%;6%;4%;
ALCP559.COB ;1262;846;218;104; False;82;37;80;35;0;0;;38%;36%;37%;34%;;44;36;42%;35%;6%;1%;
ALCP570.COB ;2328;1068;267;122; False;58;22;56;22;0;0;;22%;18%;21%;18%;;43;29;35%;24%;17%;6%;
ALCP571.COB ;1796;793;226;105; False;62;28;60;26;0;0;;27%;27%;27%;25%;;34;30;32%;29%;5%;4%;
ALCP575.COB ;3913;902;282;71; False;116;44;116;42;0;0;;41%;62%;41%;59%;;44;36;62%;51%;0%;-8%;
ALCP577.COB ;6937;3351;1371;742; False;32;16;32;14;0;0;;2%;2%;2%;2%;;24;14;3%;2%;1%;0%;
ALCP579.COB ;2180;408;112;36; False;42;19;42;14;0;0;;38%;53%;38%;39%;;21;10;58%;28%;5%;-11%;
ALCP610.COB ;423;314;71;25; True;40;19;40;19;0;0;;56%;76%;56%;76%;;19;19;76%;76%;0%;0%;
ALCP631.COB ;2473;1245;432;196; False;72;34;72;30;0;0;;17%;17%;17%;15%;;54;39;28%;20%;11%;5%;
ALCP637.COB ;1848;791;234;94; False;72;34;72;30;0;0;;31%;36%;31%;32%;;40;26;43%;28%;7%;-4%;
ALCP639.COB ;3272;1019;297;150; False;85;39;85;37;0;0;;29%;26%;29%;25%;;39;28;26%;19%;0%;-6%;
ALCP644.COB ;1279;475;143;31; True;68;25;68;25;0;0;;48%;81%;48%;81%;;25;25;81%;81%;0%;0%;
ALCP666.COB ;6147;3804;1562;946; False;70;28;68;26;0;0;;4%;3%;4%;3%;;36;24;4%;3%;1%;0%;
