mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy;
T; Cobol_85/SQ117A.cob;817;0.090449393;0.1986;2.195702961;
T; Cobol_85/SQ121A.cob;608;0.062550581;0.33845;5.410821044;
T; Cobol_85/SQ122A.cob;756;0.074599266;0.33645;4.510097995;
T; Cobol_85/SQ123A.cob;904;0.086099637;0.34365;3.991306026;
T; Cobol_85/SQ124A.cob;1192;0.121900904;0.3274;2.685788122;
T; Cobol_85/SQ125A.cob;600;0.062950039;0.3165;5.027796726;
T; Cobol_85/SQ126A.cob;735;0.089600098;0.2644;2.95088963;
T; Cobol_85/SQ127A.cob;619;0.063250411;0.3059;4.83633221;
T; Cobol_85/SQ128A.cob;552;0.054650438;0.31745;5.808736611;
T; Cobol_85/SQ129A.cob;625;0.063399494;0.3092;4.877010533;
T; Cobol_85/SQ130A.cob;524;0.051799488;0.3158;6.096585356;
T; Cobol_85/SQ131A.cob;583;0.054550266;0.3089;5.662667163;
T; Cobol_85/SQ132A.cob;582;0.057650363;0.33595;5.827370072;
T; Cobol_85/SQ133A.cob;1113;0.112799954;0.35745;3.168884271;
T; Cobol_85/SQ134A.cob;1090;0.10815047;0.2635;2.436420295;
T; Cobol_85/SQ135A.cob;596;0.058299732;0.29385;5.040331918;
T; Cobol_85/SQ136A.cob;813;0.074799752;0.27165;3.631696533;
T; Cobol_85/SQ137A.cob;835;0.076299179;0.3269;4.284449771;
T; Cobol_85/SQ138A.cob;831;0.076550531;0.3394;4.433672707;
T; Cobol_85/SQ139A.cob;650;0.062850082;0.33745;5.369125851;
T; Cobol_85/SQ140A.cob;658;0.064199257;0.37265;5.804584312;
T; Cobol_85/SQ141A.cob;625;0.060648668;0.3394;5.596165772;
T; Cobol_85/SQ142A.cob;628;0.059849608;0.2752;4.598192189;
T; Cobol_85/SQ143A.cob;479;0.048198617;0.27045;5.611156851;
T; Cobol_85/SQ144A.cob;769;0.074950492;0.344;4.589696356;
T; Cobol_85/SQ146A.cob;510;0.050699461;0.36555;7.210135824;
T; Cobol_85/SQ147A.cob;613;0.063047981;0.29195;4.630600304;
T; Cobol_85/SQ148A.cob;652;0.066550112;0.32815;4.93087074;
T; Cobol_85/SQ149A.cob;505;0.05049957;0.31595;6.256488917;
T; Cobol_85/SQ150A.cob;512;0.050549769;0.3212;6.354133883;
T; Cobol_85/SQ151A.cob;598;0.060999739;0.35255;5.779532926;
T; Cobol_85/SQ152A.cob;607;0.060749817;0.34995;5.76051118;
T; Cobol_85/SQ153A.cob;596;0.060499012;0.24545;4.057091048;
T; Cobol_85/SQ154A.cob;503;0.049299979;0.29925;6.069982302;
T; Cobol_85/SQ155A.cob;516;0.050350034;0.3298;6.550144534;
T; Cobol_85/SQ156A.cob;516;0.051899827;0.324;6.242795376;
T; Cobol_85/SQ201M.cob;780;0.063949335;0.21695;3.392529414;
T; Cobol_85/SQ202A.cob;448;0.045499551;0.33055;7.264906856;
T; Cobol_85/SQ203A.cob;553;0.05730027;0.26915;4.697185546;
T; Cobol_85/SQ204A.cob;617;0.055448902;0.34505;6.222846396;
T; Cobol_85/SQ205A.cob;571;0.056201041;0.3251;5.78459036;
T; Cobol_85/SQ206A.cob;689;0.069199538;0.3117;4.504365333;
T; Cobol_85/SQ207M.cob;440;0.044599402;0.3251;7.289335404;
T; Cobol_85/SQ208M.cob;664;0.058899808;0.3489;5.92361863;
T; Cobol_85/SQ209M.cob;459;0.04340055;0.3407;7.850130932;
T; Cobol_85/SQ210M.cob;374;0.035049367;0.34395;9.813301336;
T; Cobol_85/SQ211A.cob;554;0.054847801;0.30455;5.552638291;
T; Cobol_85/SQ212A.cob;767;0.07194953;0.3197;4.443392472;
T; Cobol_85/SQ213A.cob;640;0.05604949;0.2965;5.289967848;
T; Cobol_85/SQ214A.cob;570;0.058149147;0.25265;4.344861671;
T; Cobol_85/SQ215A.cob;648;0.064649582;0.2999;4.638854432;
T; Cobol_85/SQ216A.cob;608;0.060348535;0.28455;4.715110317;
T; Cobol_85/SQ217A.cob;609;0.061750448;0.3705;5.99995647;
T; Cobol_85/SQ218A.cob;699;0.071800256;0.30395;4.233271815;
T; Cobol_85/SQ219A.cob;702;0.073099101;0.27785;3.801004338;
T; Cobol_85/SQ220A.cob;720;0.074349022;0.2943;3.958357381;
T; Cobol_85/SQ221A.cob;717;0.071149659;0.32015;4.499670195;
T; Cobol_85/SQ222A.cob;701;0.07014941;0.3406;4.855350886;
T; Cobol_85/SQ223A.cob;711;0.073449636;0.3548;4.830520876;
